feature,shap_importance
orig_balance_error,3.8649788
orig_balance_zero_after,1.4794191
orig_fully_drained,1.3524714
amount,1.2491621
oldbalanceDest,0.88398457
balance_diff_dest,0.8498775
dest_balance_error,0.8410964
newbalanceDest,0.83662134
amount_to_orig_balance,0.67606896
type_PAYMENT,0.5445445
step,0.48042956
hour_of_day,0.411346
balance_diff_orig,0.40540087
drain_with_error,0.3807388
oldbalanceOrg,0.2542899
amount_log,0.23712233
type_CASH_OUT,0.21327995
newbalanceOrig,0.12782778
dest_was_empty,0.059598222
day_of_sim,0.029708618
type_CASH_IN,0.025832992
cashout_to_empty_dest,0.024357796
type_TRANSFER,0.007456504
is_night,0.0050924155
transfer_and_drained,0.0026755927
is_round_amount,0.0020931193
dest_balance_unchanged,0.0015863575
large_with_no_dest_change,0.0010412035
is_weekend,0.0
is_micro_transaction,0.0
is_large_transaction,0.0
type_DEBIT,0.0
